id,title_en,title_hi,title_kn,ministry,scope,state,category,eligibility,benefit_en,benefit_hi,benefit_kn,documents,application_url,office_template
igw_pension,Indira Gandhi National Widow Pension Scheme,Indira Gandhi National Widow Pension Scheme (Hindi),Indira Gandhi National Widow Pension Scheme (Kannada),Various Ministries,national,,widow,"[{""field"": ""marital_status"", ""op"": ""=="", ""value"": ""widow""}, {""field"": ""age"", ""op"": ""between"", ""value"": [40, 79]}, {""field"": ""ration_category"", ""op"": ""in"", ""value"": [""BPL"", ""AAY""]}]",₹300/month,₹300/month (Hindi),₹300/month (Kannada),"[""aadhaar"", ""ration_card"", ""death_certificate""]",https://example.gov.in,"Local Office, {district}"
pm_widow_rehab,PM Widow Rehabilitation Fund,PM Widow Rehabilitation Fund (Hindi),PM Widow Rehabilitation Fund (Kannada),Various Ministries,national,,widow,"[{""field"": ""marital_status"", ""op"": ""=="", ""value"": ""widow""}]",Skill training & ₹5000 one-time,Skill training & ₹5000 one-time (Hindi),Skill training & ₹5000 one-time (Kannada),"[""aadhaar"", ""death_certificate""]",https://example.gov.in,"Local Office, {district}"
nfdc_widow,NFDC Widow Loan Scheme,NFDC Widow Loan Scheme (Hindi),NFDC Widow Loan Scheme (Kannada),Various Ministries,national,,widow,"[{""field"": ""marital_status"", ""op"": ""=="", ""value"": ""widow""}]",Subsidized loans up to ₹1L,Subsidized loans up to ₹1L (Hindi),Subsidized loans up to ₹1L (Kannada),"[""aadhaar"", ""death_certificate""]",https://example.gov.in,"Local Office, {district}"
ka_widow_pension,Karnataka Widow Pension (Sandhya Suraksha),Karnataka Widow Pension (Sandhya Suraksha) (Hindi),Karnataka Widow Pension (Sandhya Suraksha) (Kannada),Various Ministries,state,Karnataka,widow,"[{""field"": ""marital_status"", ""op"": ""=="", ""value"": ""widow""}, {""field"": ""state"", ""op"": ""=="", ""value"": ""Karnataka""}]",₹600/month,₹600/month (Hindi),₹600/month (Kannada),"[""aadhaar"", ""death_certificate""]",https://example.gov.in,"Local Office, {district}"
ka_destitute_widow,Karnataka Destitute Widow Scheme,Karnataka Destitute Widow Scheme (Hindi),Karnataka Destitute Widow Scheme (Kannada),Various Ministries,state,Karnataka,widow,"[{""field"": ""marital_status"", ""op"": ""=="", ""value"": ""widow""}, {""field"": ""state"", ""op"": ""=="", ""value"": ""Karnataka""}]",₹1000/month,₹1000/month (Hindi),₹1000/month (Kannada),"[""aadhaar"", ""ration_card""]",https://example.gov.in,"Local Office, {district}"
ig_disability,Indira Gandhi National Disability Pension,Indira Gandhi National Disability Pension (Hindi),Indira Gandhi National Disability Pension (Kannada),Various Ministries,national,,disability,"[{""field"": ""disability"", ""op"": ""=="", ""value"": true}, {""field"": ""disability_percentage"", ""op"": "">="", ""value"": 40}]",₹300/month,₹300/month (Hindi),₹300/month (Kannada),"[""aadhaar"", ""disability_certificate""]",https://example.gov.in,"Local Office, {district}"
adip,ADIP Scheme (Assistive Devices),ADIP Scheme (Assistive Devices) (Hindi),ADIP Scheme (Assistive Devices) (Kannada),Various Ministries,national,,disability,"[{""field"": ""disability"", ""op"": ""=="", ""value"": true}]",Free assistive devices,Free assistive devices (Hindi),Free assistive devices (Kannada),"[""aadhaar"", ""disability_certificate""]",https://example.gov.in,"Local Office, {district}"
ka_disability_pension,Karnataka Disability Pension,Karnataka Disability Pension (Hindi),Karnataka Disability Pension (Kannada),Various Ministries,state,Karnataka,disability,"[{""field"": ""disability"", ""op"": ""=="", ""value"": true}, {""field"": ""state"", ""op"": ""=="", ""value"": ""Karnataka""}]",₹600/month,₹600/month (Hindi),₹600/month (Kannada),"[""aadhaar"", ""disability_certificate""]",https://example.gov.in,"Local Office, {district}"
ka_blind_relief,Karnataka Blind Relief Fund,Karnataka Blind Relief Fund (Hindi),Karnataka Blind Relief Fund (Kannada),Various Ministries,state,Karnataka,disability,"[{""field"": ""disability"", ""op"": ""=="", ""value"": true}, {""field"": ""disability_type"", ""op"": ""=="", ""value"": ""visual""}, {""field"": ""state"", ""op"": ""=="", ""value"": ""Karnataka""}]",₹1000/month,₹1000/month (Hindi),₹1000/month (Kannada),"[""aadhaar"", ""disability_certificate""]",https://example.gov.in,"Local Office, {district}"
ka_deaf_mute,Karnataka Deaf/Mute Assistance,Karnataka Deaf/Mute Assistance (Hindi),Karnataka Deaf/Mute Assistance (Kannada),Various Ministries,state,Karnataka,disability,"[{""field"": ""disability"", ""op"": ""=="", ""value"": true}, {""field"": ""disability_type"", ""op"": ""=="", ""value"": ""hearing""}, {""field"": ""state"", ""op"": ""=="", ""value"": ""Karnataka""}]",₹800/month,₹800/month (Hindi),₹800/month (Kannada),"[""aadhaar"", ""disability_certificate""]",https://example.gov.in,"Local Office, {district}"
